gene,count
CMKLR1,2958
CMSS1,10901
CMTM5,140
CMTM8,3146
CMYA5,1289
CNDP1,238
CNGB1,673
CNGB3,536
CNIH4,9071
CNKSR3,5322
CNMD,533
CNN1,43930
CNNM1,960
CNNM3,9680
CNOT1,24131
CNP,24059
CNR1,772
CNR2,1567
CNRIP1,11127
CNST,5315
CNTF,1940
CNTLN,5991
CNTN2,853
CNTN6,418
CNTNAP1,4204
CNTNAP3,3939
CNTNAP4,301
CNTROB,10203
COASY,9942
COBLL1,16128
COCH,3648
COIL,10239
COL10A1,6432
COL11A1,1378
COL17A1,21269
COL18A1,34219
COL23A1,2180
COL25A1,698
COL2A1,977
COL4A1,109432
COL4A2,54838
COL4A3,696
COL4A4,824
COL4A5,15203
COL5A1,236812
COL5A2,71157
COL7A1,40249
COLEC12,11754
COLQ,2021
COMP,8759
COMT,19007
COPS5,20527
COQ8A,2364
CORIN,650
CORO1B,7139
CORO1C,37968
CORT,3189
CP,5023
CPA4,1638
CPA5,1047
CPA6,1313
CPB2,1120
CPEB1,1543
CPEB2,3617
CPEB3,3611
CPLX3,1051
CPNE9,992
CPS1,326
CPSF6,41722
CPT1A,15556
CPVL,2799
CPXM2,863
CPZ,1100
CR1,1577
CR2,1371
CRB2,1140
CREB1,21738
CREB3,18865
CREB5,510
CREBBP,48722
CREG1,27666
CREG2,1848
CRH,1103
CRHR1,949
CRHR2,1085
CRIPT,7633
CRK,33545
CRKL,14994
CRNDE,4858
CRNN,28089
CRTAC1,1004
CRTAM,1464
CRY2,9279
CRYAA,1645
CRYBB3,587
CRYBG1,21288
CRYBG3,16649
CRYGC,452
CRYGS,2034
CRYZ,12041
CRYZL1,8482
CSE1L,20702
CSF1,5748
CSF1R,4356
CSF2,865
CSF2RA,4928
CSF2RB,8057
CSF3,5741
CSF3R,1991
CSK,18367
CSNK1A1,83008
CSNK1A1L,773
CSNK1E,30625
CSNK1G1,11450
CSNK2A1,25217
CSNK2A2,13704
CSNK2B,57240
CSPG4,8281
CSPP1,5183
CSRP1,47512
CSRP3,879
CST1,271
CST2,790
CST4,404
CST5,240
CST7,3670
CTAG1B,1856
CTBP1,49404
CTBP2,11652
CTCF,17022
CTCFL,13754
CTDSPL,14022
CTH,2644
CTHRC1,28009
CTLA4,15684
CTNNA1,86427
CTNNAL1,13136
CTNNB1,60067
CTNND1,116918
CTNND2,103
CTRL,440
CTSA,17144
CTSC,17885
CTSG,1157
CTSH,7309
CTSK,40379
CTSL,21733
CTSW,2838
CTTN,65422
CTTNBP2NL,38395
CTXN3,1512
CUBN,1029
CUEDC2,9524
CUL1,26844
CUL2,8233
CUL3,30941
CUL4A,22681
CUL4B,29415
CUL5,8508
CUTA,12317
CUX2,862
CUZD1,774
CX3CL1,5584
CX3CR1,992
CXADR,53184
CXCL10,23561
CXCL11,4023
CXCL12,16039
CXCL13,9597
CXCL16,22141
CXCL2,11657
CXCL5,4242
CXCL6,3189
CXCL9,27892
CXCR1,1151
CXCR2,803
CXCR3,1462
CXCR4,39504
CXCR5,908
CXCR6,2307
CYBA,9418
CYBB,10984
CYBC1,17739
CYCS,37987
CYFIP2,4475
CYHR1,3534
CYLD,38107
CYP11A1,942
CYP11B2,373
CYP17A1,735
CYP19A1,1304
CYP1A1,957
CYP1A2,459
CYP1B1,6711
CYP20A1,6356
CYP24A1,11068
CYP27A1,4272
CYP27B1,1235
CYP2A6,3
CYP2C19,762
CYP2C8,428
CYP2C9,588
CYP2D6,3289
CYP2J2,1423
CYP3A5,5366
CYP46A1,675
CYP4B1,10319
CYP4F2,2061
CYP7A1,600
CYREN,17073
CYSLTR1,2459
CYSLTR2,1312
CYTH2,8326
CYTOR,12301
DAB1,526
DAB2,9829
DACH1,4154
DACH2,521
DACT2,1708
DAG1,17944
DAO,462
DAOA,619
DAP,77685
DAP3,32236
DAPK1,3011
DAXX,18859
DAZAP1,38409
DAZAP2,35992
DAZL,978
DBN1,8480
DBR1,9514
DCAF1,8289
DCDC1,1099
DCLK1,2196
DCN,138145
DCT,219
DCTN1,12795
DCX,282
DDB1,16392
DDB2,13462
DDC,1178
DDI2,15124
DDIT3,2453
DDIT4L,1248
DDR1,62769
DDR2,12415
DDX1,30303
DDX10,6144
DDX19A,9851
DDX20,5800
DDX21,18764
DDX25,1083
DDX27,25198
DDX28,3042
DDX31,4615
DDX39B,87655
DDX3X,143325
DDX3Y,325
DDX43,3039
DDX50,26902
DDX51,6075
DDX53,506
DDX55,11667
DDX58,8452
DDX6,35075
DEFA1,835
DEFA6,269
DEFB103B,513
DEFB4A,1046
DEK,60979
DEPDC7,2795
DEPTOR,4796
DERL3,6141
DGAT1,5122
DHCR24,68033
DHCR7,2772
DHDDS,9564
DHFR,29266
DHODH,1822
DHRS1,13314
DHRS2,723
DHX29,7307
DHX30,13259
DHX34,4537
DHX57,5117
DHX9,35128
DIABLO,3386
DICER1,12784
DIO2,44281
DIP2A,16443
DIP2B,12630
DIRAS3,3541
DIS3,20916
DIS3L2,9805
DISC1,3811
DISP1,1915
DKC1,20521
DKK1,7124
DKK3,27160
DLD,23863
DLEC1,1103
DLEU1,11932
DLEU2,23122
DLG1,15216
DLG4,4595
DLK1,1143
DLK2,1041
DLL1,6010
DLL3,1405
DLL4,2319
DLX4,2418
DMBX1,3170
DMD,2094
DMKN,7754
DMPK,5114
DMRT2,1132
DMWD,17445
DMXL1,12741
DMXL2,3987
DNAH1,3045
DNAH10,669
DNAH11,1671
DNAH12,605
DNAH14,2476
DNAH2,1267
DNAH5,422
