gene,count
PSMA5,1552
SYPL2,63
ATXN7L2,333
CYB561D1,637
AMIGO1,286
GPR61,78
GNAI3,9858
GNAT2,62
AMPD2,3384
GSTM1,8
GSTM3,10072
EPS8L3,53
CSF1,2129
AHCYL1,7316
STRIP1,2307
ALX3,240
UBL4B,50
SLC6A17,126
KCNC4,2058
RBM15,5468
SLC16A4,952
LAMTOR5,2663
PROK1,62
KCNA10,51
KCNA2,59
KCNA3,168
CD53,1746
LRIF1,3252
DRAM2,4320
CEPT1,3226
DENND2D,2612
CHI3L2,1742
CHIA,57
PIFO,684
OVGP1,235
WDR77,3809
ATP5PB,4010
C1ORF162,1058
TMIGD3,175
ADORA3,336
RAP1A,6599
INKA2,327
DDX20,1062
KCND3,159
CTTNBP2NL,1973
WNT2B,203
ST7L,1655
CAPZA1,1957
MOV10,5215
RHOC,21752
PPM1J,1714
TAFA3,127
SLC16A1,4549
LRIG2,2965
MAGI3,3108
PHTF1,2448
RSBN1,1863
PTPN22,508
BCL2L15,32
AP4B1,2592
DCLRE1B,363
HIPK1,3741
OLFML3,2151
SYT6,67
TRIM33,5101
BCAS2,2540
DENND2C,188
AMPD1,86
NRAS,7152
CSDE1,14494
SIKE1,4585
SYCP1,67
TSHB,54
TSPAN2,592
NGF,121
VANGL1,2586
CASQ2,38
NHLH2,36
SLC22A15,920
MAB21L3,60
ATP1A1,4195
CD58,1695
IGSF3,2315
CD2,1089
PTGFRN,4341
CD101,365
TTF2,2082
TRIM45,2266
VTCN1,10851
MAN1A2,2794
TENT5C,1323
GDAP2,3530
WDR3,2805
SPAG17,321
TBX15,251
WARS2,1699
HAO2,64
HSD3B2,35
HSD3B1,28
ZNF697,1224
PHGDH,10002
HMGCS2,537
REG4,40
ADAM30,61
NOTCH2,4368
SEC22B,8364
PPIAL4A,26
FCGR1B,228
NBPF20,826
PDZK1,472
CD160,49
RNF115,7666
POLR3C,3040
NUDT17,527
PIAS3,3918
ANKRD35,358
ITGA10,711
PEX11B,3120
RBM8A,1470
LIX1L,3715
ANKRD34A,314
POLR3GL,2699
TXNIP,13174
HJV,186
PRKAB2,1719
FMO5,767
BCL9,1818
ACP6,2149
GJA5,404
GJA8,76
GPR89B,914
NBPF11,477
PPIAL4G,363
NBPF19,99
FCGR1A,193
HIST2H2BE,4745
BOLA1,1286
SV2A,146
SF3B4,11186
MTMR11,1633
OTUD7B,5186
VPS45,7692
PLEKHO1,5632
ANP32E,5626
CA14,28
APH1A,10021
C1ORF54,1250
CIART,1045
PRPF3,10910
RPRD2,4276
TARS2,1835
ECM1,7235
ADAMTSL4,604
MCL1,46061
ENSA,9814
GOLPH3L,4941
HORMAD1,953
CTSS,4562
CTSK,11008
ARNT,3681
CTXND2,110
SETDB1,5760
CERS2,13289
ANXA9,2047
MINDY1,3054
PRUNE1,1763
BNIPL,4086
C1ORF56,1205
CDC42SE1,11925
MLLT11,1897
GABPB2,2469
SEMA6C,698
TNFAIP8L2,199
SCNM1,3906
LYSMD1,875
TMOD4,4
VPS72,7516
PIP5K1A,6011
PSMD4,5816
ZNF687,2418
PI4KB,5893
RFX5,4957
SELENBP1,15116
PSMB4,10207
POGZ,9945
CGN,7265
TUFT1,9559
SNX27,5275
CELF3,350
RIIAD1,420
OAZ3,796
TDRKH,1890
LINGO4,141
RORC,1864
C2CD4D,487
THEM5,72
THEM4,1003
S100A10,37203
S100A11,11475
TCHHL1,56
TCHH,93
RPTN,43
HRNR,134
FLG,103
FLG2,41
CRNN,51
LCE5A,48
CRCT1,35
LCE3E,48
LCE3D,81
LCE3C,21
LCE3B,4
LCE3A,34
LCE2D,28
LCE2C,30
LCE2B,64
LCE2A,38
LCE4A,64
C1ORF68,62
KPRP,63
LCE1D,14
LCE1C,56
LCE1B,66
LCE1A,63
LCE6A,58
AL162596.1,28
SMCP,42
IVL,226
SPRR5,42
SPRR4,38
SPRR3,50
SPRR1B,117
SPRR2D,31
SPRR2A,12
SPRR2B,22
SPRR2E,31
SPRR2F,127
SPRR2G,63
LELP1,30
PRR9,67
LOR,56
PGLYRP3,97
PGLYRP4,71
S100A9,24591
S100A12,71
S100A8,6546
S100A7A,31
S100A7L2,26
S100A6,30879
S100A5,102
S100A4,4926
S100A3,166
S100A2,968
S100A16,34093
S100A14,16304
S100A13,24692
S100A1,17032
CHTOP,11286
SNAPIN,2921
ILF2,10454
NPR1,477
INTS3,4542
SLC27A3,1786
GATAD2B,6039
DENND4B,3055
CRTC2,6573
SLC39A1,2489
CREB3L4,5430
JTB,7355
RAB13,16178
NUP210L,90
C1ORF189,146
C1ORF43,8296
UBAP2L,12665
HAX1,4548
AQP10,38
ATP8B2,1549
IL6R,534
SHE,278
TDRD10,125
UBE2Q1,6382
CHRNB2,125
ADAR,35277
KCNN3,152
PMVK,6524
PBXIP1,3478
PYGO2,3162
SHC1,8749
CKS1B,5378
FLAD1,5456
LENEP,51
ZBTB7B,9978
DCST2,369
DCST1,62
ADAM15,13718
EFNA4,2380
EFNA3,2123
EFNA1,10017
SLC50A1,5712
DPM3,1882
KRTCAP2,7433
TRIM46,552
MUC1,41569
THBS3,3655
MTX1,2271
GBA,4935
FAM189B,2331
SCAMP3,4791
CLK2,2896
HCN3,666
PKLR,60
FDPS,3460
RUSC1,7671
ASH1L,9291
MSTO1,5392
YY1AP1,5339
DAP3,15907
GON4L,5838
SYT11,465
RIT1,3216
KHDC4,9589
RXFP4,88
ARHGEF2,8705
SSR2,20535
UBQLN4,2480
LAMTOR2,6984
RAB25,8881
MEX3A,4904
LMNA,43066
SEMA4A,1536
SLC25A44,3637
PMF1,4366
BGLAP,1078
PAQR6,1429
SMG5,9630
TMEM79,2282
GLMP,3092
VHLL,104
CCT3,9206
TSACC,159
RHBG,130
C1ORF61,113
MEF2D,5956
IQGAP3,2995
TTC24,16
NAXE,7569
GPATCH4,4532
HAPLN2,43
BCAN,182
NES,6899
CRABP2,64202
ISG20L2,3654
RRNAD1,2428
HDGF,16592
PRCC,5921
SH2D2A,481
NTRK1,119
INSRR,54
PEAR1,357
